Meniu omnivori
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,0053EB5C
Supa de pui cu galuste,Piept de pui la gratar cu orez,0053EB5C
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,0053EB5C

Meniu vegetarieni
Supa crema de legume,Dovlecei pane,Tiramisu
Ciorba de frunze de sfecla,Burger vegetarian,Placinta cu visine
Supa de rosii,Ratatouille,Placinta cu mere

Meniu flexitarieni
Gulas de post,Crap la cuptor cu legume,Tiramisu
Ciorba de peste,Legume la cuptor,Cheesecake cu lamaie
Gulas de post,Crap la cuptor cu legume,Tiramisu
Meniu omnivori
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,010FE8F0
Supa de pui cu galuste,Piept de pui la gratar cu orez,010FE8F0
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,010FE8F0

Meniu vegetarieni
Supa crema de legume,Dovlecei pane,Tiramisu
Ciorba de frunze de sfecla,Burger vegetarian,Placinta cu visine
Supa de rosii,Ratatouille,Placinta cu mere

Meniu flexitarieni
Gulas de post,Crap la cuptor cu legume,Tiramisu
Ciorba de peste,Legume la cuptor,Cheesecake cu lamaie
Gulas de post,Crap la cuptor cu legume,Tiramisu
Meniu omnivori
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,0052ED6C
Supa de pui cu galuste,Piept de pui la gratar cu orez,0052ED6C
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,0052ED6C

Meniu vegetarieni
Supa crema de legume,Dovlecei pane,Tiramisu
Ciorba de frunze de sfecla,Burger vegetarian,Placinta cu visine
Supa de rosii,Ratatouille,Placinta cu mere

Meniu flexitarieni
Gulas de post,Crap la cuptor cu legume,Tiramisu
Ciorba de peste,Legume la cuptor,Cheesecake cu lamaie
Gulas de post,Crap la cuptor cu legume,Tiramisu
Meniu omnivori
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,003FED24
Supa de pui cu galuste,Piept de pui la gratar cu orez,003FED24
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,003FED24

Meniu vegetarieni
Supa crema de legume,Dovlecei pane,Tiramisu
Ciorba de frunze de sfecla,Burger vegetarian,Placinta cu visine
Supa de rosii,Ratatouille,Placinta cu mere

Meniu flexitarieni
Gulas de post,Crap la cuptor cu legume,Tiramisu
Ciorba de peste,Legume la cuptor,Cheesecake cu lamaie
Gulas de post,Crap la cuptor cu legume,Tiramisu
Meniu omnivori
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,00CFEE74
Supa de pui cu galuste,Piept de pui la gratar cu orez,00CFEE74
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,00CFEE74

Meniu vegetarieni
Supa crema de legume,Dovlecei pane,Tiramisu
Ciorba de frunze de sfecla,Burger vegetarian,Placinta cu visine
Supa de rosii,Ratatouille,Placinta cu mere

Meniu flexitarieni
Gulas de post,Crap la cuptor cu legume,Tiramisu
Ciorba de peste,Legume la cuptor,Cheesecake cu lamaie
Gulas de post,Crap la cuptor cu legume,Tiramisu
Meniu omnivori
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,00DAED18
Supa de pui cu galuste,Piept de pui la gratar cu orez,00DAED18
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,00DAED18

Meniu vegetarieni
Supa crema de legume,Dovlecei pane,Tiramisu
Ciorba de frunze de sfecla,Burger vegetarian,Placinta cu visine
Supa de rosii,Ratatouille,Placinta cu mere

Meniu flexitarieni
Gulas de post,Crap la cuptor cu legume,Tiramisu
Ciorba de peste,Legume la cuptor,Cheesecake cu lamaie
Gulas de post,Crap la cuptor cu legume,Tiramisu
Meniu omnivori
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,001EEDE0
Supa de pui cu galuste,Piept de pui la gratar cu orez,001EEDE0
Ciorba de fasole cu ciolan afumat,Cartofi gratinati cu ciuperci,001EEDE0

Meniu vegetarieni
Supa crema de legume,Dovlecei pane,Tiramisu
Ciorba de frunze de sfecla,Burger vegetarian,Placinta cu visine
Supa de rosii,Ratatouille,Placinta cu mere

Meniu flexitarieni
Gulas de post,Crap la cuptor cu legume,Tiramisu
Ciorba de peste,Legume la cuptor,Cheesecake cu lamaie
Gulas de post,Crap la cuptor cu legume,Tiramisu
