Menu omnivorous
Bean soup with bone corn,Potatoes au gratin with mushrooms,Muffin
Chicken soup with dumplings,Grilled chicken breast with rice,Pudding
Bean soup with bone corn,Potatoes au gratin with mushrooms,Muffin

Menu vegetarian
Vegetable cream soup,Bread zucchini,Tiramisu
Beet leaf soup,Vegetarian burger,Cherry pie
Tomato soup,Ratatouille,Apple pie

Menu flexitarian
Post stew,Baked carp with vegetables,Tiramisu
Fish soup,Baked vegetables,Cheesecake with lemon
Post stew,Baked carp with vegetables,TiramisuMenu omnivorous
Bean soup with bone corn,Potatoes au gratin with mushrooms,Muffin
Chicken soup with dumplings,Grilled chicken breast with rice,Pudding
Bean soup with bone corn,Potatoes au gratin with mushrooms,Muffin

Menu vegetarian
Vegetable cream soup,Bread zucchini,Tiramisu
Beet leaf soup,Vegetarian burger,Cherry pie
Tomato soup,Ratatouille,Apple pie

Menu flexitarian
Post stew,Baked carp with vegetables,Tiramisu
Fish soup,Baked vegetables,Cheesecake with lemon
Post stew,Baked carp with vegetables,TiramisuMenu omnivorous
Bean soup with bone corn,Potatoes au gratin with mushrooms,Muffin
Chicken soup with dumplings,Grilled chicken breast with rice,Pudding
Bean soup with bone corn,Potatoes au gratin with mushrooms,Muffin

Menu vegetarian
Vegetable cream soup,Bread zucchini,Tiramisu
Beet leaf soup,Vegetarian burger,Cherry pie
Tomato soup,Ratatouille,Apple pie

Menu flexitarian
Post stew,Baked carp with vegetables,Tiramisu
Fish soup,Baked vegetables,Cheesecake with lemon
Post stew,Baked carp with vegetables,TiramisuMenu omnivorous
Bean soup with bone corn,Potatoes au gratin with mushrooms,Muffin
Chicken soup with dumplings,Grilled chicken breast with rice,Pudding
Bean soup with bone corn,Potatoes au gratin with mushrooms,Muffin

Menu vegetarian
Vegetable cream soup,Bread zucchini,Tiramisu
Beet leaf soup,Vegetarian burger,Cherry pie
Tomato soup,Ratatouille,Apple pie

Menu flexitarian
Post stew,Baked carp with vegetables,Tiramisu
Fish soup,Baked vegetables,Cheesecake with lemon
Post stew,Baked carp with vegetables,Tiramisu
